"Integration Node (broker)","Ver","integration node UUID (broker UUID)","Integration server (ex.grp)","message flow","StartDate","StartTime","EndDate","EndTime","Tot.msgs","Tot.Elapse","max.elapse","min.elapse","total.cp","max.cp","min.cp","cp.wait","elapse.wait","total.msgsize","max.msgsize","min.msgsize"
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:44,2019-04-25,17:45,4234,84.827890,0.130926,0.008235,14.107854,0.012803,0.001825,0.532312,336.201135,56396436,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:44,2019-04-25,17:45,3954,72.684491,0.064830,0.008435,17.378954,0.020355,0.002520,1.104135,1836.618031,7642315,2073,1867
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:44,2019-04-25,17:45,2608,28.616893,0.125403,0.005539,10.956009,0.006464,0.003127,0.503195,204.662240,1084928,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:44,2019-04-25,17:45,6113,367.928520,0.186581,0.014189,21.210503,0.007250,0.002571,0.525437,1742.543342,12801385,2095,2093
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:44,2019-04-25,17:45,5852,58.674132,0.165311,0.005607,25.140905,0.006755,0.003050,6.598188,2343.098610,2434432,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:45,2019-04-25,17:46,4239,87.556932,0.208928,0.007955,13.956791,0.011848,0.001849,0.531288,334.271275,55840538,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:45,2019-04-25,17:46,4092,76.300695,0.209314,0.008336,17.794649,0.021583,0.002525,1.134335,1871.239220,7902212,2073,1867
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:45,2019-04-25,17:46,5830,58.989832,0.148220,0.005638,25.022952,0.007435,0.002833,6.593185,2341.277951,2425280,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:45,2019-04-25,17:46,2569,29.200189,0.144830,0.005593,10.845357,0.006385,0.002869,0.520549,210.106306,1068704,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:45,2019-04-25,17:46,5976,399.140202,5.449147,0.011346,22.844401,2.064109,0.002639,0.529308,1756.845623,12514340,2095,1889
